City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Acarau,BR,2021-08-06 20:20:12,-2.8856,-40.12,82.72,66,24,19.46
93,Faya,SA,2021-08-06 20:20:12,18.3851,42.4509,66.72,46,96,2.82
94,Buchanan,LR,2021-08-06 20:20:12,5.8808,-10.0467,76.96,74,68,5.01
95,Manjacaze,MZ,2021-08-06 20:20:13,-24.7117,33.8828,63.5,50,0,7.47
96,Grimshaw,CA,2021-08-06 20:19:17,56.1834,-117.6027,68.7,48,75,16.11
97,Northam,GB,2021-08-06 20:20:13,51.0333,-4.2167,60.66,88,7,17.96
98,Lavrentiya,RU,2021-08-06 20:20:13,65.5833,-171.0,44.78,79,100,12.86
99,Sitka,US,2021-08-06 20:20:13,57.0531,-135.33,62.49,72,90,0.0
100,Busselton,AU,2021-08-06 20:20:14,-33.65,115.3333,52.05,79,4,12.68
101,Sao Joao Da Barra,BR,2021-08-06 20:20:14,-21.6403,-41.0511,71.69,68,100,10.18
102,Port-Cartier,CA,2021-08-06 20:20:14,50.0334,-66.8654,68.22,58,98,13.69
103,Atuona,PF,2021-08-06 20:20:15,-9.8,-139.0333,77.83,78,18,16.78
104,Mahibadhoo,MV,2021-08-06 20:20:15,3.7833,72.9667,81.55,80,100,13.11
105,Guerrero Negro,MX,2021-08-06 20:20:15,27.9769,-114.0611,86.76,49,25,8.68
106,Muroto,JP,2021-08-06 20:20:15,33.2833,134.15,80.55,85,36,17.92
107,Barberton,ZA,2021-08-06 20:19:35,-25.7884,31.0532,64.45,36,0,3.58
108,Walvis Bay,NA,2021-08-06 20:16:14,-22.9575,14.5053,56.08,74,2,9.42
109,Abu Samrah,SY,2021-08-06 20:20:16,35.3029,37.1841,84.36,36,42,11.59
110,Saint-Philippe,RE,2021-08-06 20:20:16,-21.3585,55.7679,65.75,80,70,14.52
111,Cabo San Lucas,MX,2021-08-06 20:20:01,22.8909,-109.9124,90.7,69,40,8.99
112,Avera,US,2021-08-06 20:20:17,33.194,-82.5271,78.71,76,98,5.77
113,Xining,CN,2021-08-06 20:20:17,36.6167,101.7667,53.11,83,11,2.95
114,Geraldton,AU,2021-08-06 20:20:17,-28.7667,114.6,55.81,50,90,17.27
115,Longview,US,2021-08-06 20:20:17,32.5007,-94.7405,91.54,47,20,6.91
116,Huarmey,PE,2021-08-06 20:20:18,-10.0681,-78.1522,69.87,69,1,12.88
117,Saskylakh,RU,2021-08-06 20:20:18,71.9167,114.0833,46.56,85,100,10.47
118,Vardo,NO,2021-08-06 20:20:18,70.3705,31.1107,62.35,83,49,11.54
119,Pangody,RU,2021-08-06 20:20:19,65.85,74.4859,65.01,69,1,8.66
120,Bengkulu,ID,2021-08-06 20:17:02,-3.8004,102.2655,75.72,91,80,4.36
121,West Wendover,US,2021-08-06 20:20:19,40.7391,-114.0733,79.81,18,1,16.11
122,Kodiak,US,2021-08-06 20:20:19,57.79,-152.4072,56.71,82,90,4.61
123,Zeya,RU,2021-08-06 20:20:19,53.75,127.2667,59.59,98,100,4.9
124,Tiksi,RU,2021-08-06 20:20:20,71.6872,128.8694,40.35,95,29,5.93
125,Weligama,LK,2021-08-06 20:20:20,5.9667,80.4167,77.88,88,100,10.98
126,San Julian,MX,2021-08-06 20:20:20,21.0167,-102.1667,70.93,62,100,4.85
127,Sept-Iles,CA,2021-08-06 20:20:21,50.2001,-66.3821,68.52,83,90,4.0
128,Acucena,BR,2021-08-06 20:20:21,-19.0731,-42.5464,72.12,52,99,4.9
129,Meulaboh,ID,2021-08-06 20:20:21,4.1363,96.1285,76.44,89,91,5.06
130,Dodola,ET,2021-08-06 20:20:21,6.9833,39.1833,54.77,90,78,4.18
131,Ancud,CL,2021-08-06 20:20:22,-41.8697,-73.8203,49.53,72,84,11.99
132,Upernavik,GL,2021-08-06 20:20:22,72.7868,-56.1549,42.82,90,100,4.59
133,Tasiilaq,GL,2021-08-06 20:20:22,65.6145,-37.6368,42.96,87,100,3.78
134,Mareeba,AU,2021-08-06 20:20:23,-17.0,145.4333,63.32,93,77,2.35
135,Sorland,NO,2021-08-06 20:20:23,67.667,12.6934,57.27,72,76,7.09
136,San Patricio,US,2021-08-06 20:20:23,28.017,-97.5169,91.29,57,99,5.66
137,Mikhaylovsk,RU,2021-08-06 20:20:23,45.1283,42.0256,82.06,58,0,20.13
138,Hithadhoo,MV,2021-08-06 20:20:24,-0.6,73.0833,80.47,73,100,5.64
139,Toccoa,US,2021-08-06 20:20:24,34.5773,-83.3324,86.85,56,75,0.0
140,Vrchlabi,CZ,2021-08-06 20:20:24,50.627,15.6094,62.69,90,78,2.59
141,Vao,NC,2021-08-06 20:20:25,-22.6667,167.4833,67.6,64,69,12.84
142,Touros,BR,2021-08-06 20:20:25,-5.1989,-35.4608,81.5,63,100,18.99
143,Ponta Do Sol,PT,2021-08-06 20:20:25,32.6667,-17.1,75.7,82,20,1.32
144,Chudovo,RU,2021-08-06 20:20:17,59.1167,31.6833,55.92,93,100,9.48
145,Alofi,NU,2021-08-06 20:20:26,-19.0595,-169.9187,75.09,83,40,1.14
146,Tigil,RU,2021-08-06 20:20:26,57.8,158.6667,48.0,87,97,6.06
147,College,US,2021-08-06 20:16:56,64.8569,-147.8028,64.72,88,90,9.22
148,Dunedin,NZ,2021-08-06 20:20:26,-45.8742,170.5036,44.8,62,21,23.0
149,Poso,ID,2021-08-06 20:20:27,-1.3959,120.7524,77.34,82,98,4.63
150,Olinda,BR,2021-08-06 20:18:28,-8.0089,-34.8553,78.53,73,40,14.97
151,Oytal,KZ,2021-08-06 20:20:27,42.9057,73.2697,73.9,34,69,4.7
152,Thaba-Tseka,LS,2021-08-06 20:20:27,-29.522,28.6084,38.17,31,0,4.81
153,Mandera,KE,2021-08-06 20:20:28,3.9366,41.867,82.24,41,97,19.66
154,Loreto,MX,2021-08-06 20:20:28,22.2667,-101.9667,74.75,46,100,5.41
155,Riberalta,BO,2021-08-06 20:20:28,-10.9833,-66.1,93.4,36,20,0.0
156,Ust-Karsk,RU,2021-08-06 20:20:28,52.7011,118.8077,57.15,94,89,2.01
157,Sarishabari,BD,2021-08-06 20:20:29,24.7333,89.8333,79.95,93,100,14.36
158,Bredasdorp,ZA,2021-08-06 20:20:29,-34.5322,20.0403,54.72,94,0,4.61
159,Santa Maria,BR,2021-08-06 20:20:29,-29.6842,-53.8069,72.7,64,0,10.36
160,Pangnirtung,CA,2021-08-06 20:20:30,66.1451,-65.7125,42.8,75,90,13.8
161,Utete,TZ,2021-08-06 20:20:30,-7.986,38.758,68.52,91,17,3.89
162,Mana,GF,2021-08-06 20:20:30,5.6592,-53.7767,81.39,80,24,2.84
163,Cidreira,BR,2021-08-06 20:20:31,-30.1811,-50.2056,61.72,89,100,14.18
164,Foz,ES,2021-08-06 20:20:31,43.5692,-7.2544,67.93,68,100,7.02
165,Mersing,MY,2021-08-06 20:20:31,2.4312,103.8405,73.31,94,91,3.44
166,Douentza,ML,2021-08-06 20:20:32,14.9951,-2.9517,90.64,44,88,8.55
167,Wenzhou,CN,2021-08-06 20:20:32,27.9994,120.6668,77.11,93,100,3.96
168,Naryan-Mar,RU,2021-08-06 20:20:32,67.6713,53.087,48.13,89,99,6.2
169,Bosaso,SO,2021-08-06 20:20:33,11.2842,49.1816,91.96,43,40,4.81
170,Sabang,ID,2021-08-06 20:20:33,5.8933,95.3214,82.9,76,99,15.59
171,Port Alfred,ZA,2021-08-06 20:20:34,-33.5906,26.891,58.32,80,10,3.98
172,Atambua,ID,2021-08-06 20:17:06,-9.1061,124.8925,68.16,84,28,6.98
173,Bambous Virieux,MU,2021-08-06 20:20:34,-20.3428,57.7575,70.05,73,75,13.8
174,Qaanaaq,GL,2021-08-06 20:20:34,77.484,-69.3632,45.68,56,0,3.74
175,Salalah,OM,2021-08-06 20:20:35,17.0151,54.0924,77.09,100,90,4.61
176,Fortuna,US,2021-08-06 20:20:35,40.5982,-124.1573,88.48,66,20,4.0
177,Tubuala,PA,2021-08-06 20:20:35,9.5167,-79.0333,82.51,76,100,2.73
178,Marsh Harbour,BS,2021-08-06 20:20:36,26.5412,-77.0636,85.28,70,1,13.4
179,Arraial Do Cabo,BR,2021-08-06 20:20:36,-22.9661,-42.0278,69.76,73,40,11.5
180,Mossendjo,CG,2021-08-06 20:20:36,-2.9506,12.7261,73.63,75,50,5.14
181,Ribeira Grande,PT,2021-08-06 20:20:36,38.5167,-28.7,73.8,56,40,9.22
182,Saint-Georges,GD,2021-08-06 20:20:37,12.0564,-61.7485,87.48,66,20,17.27
183,Cherskiy,RU,2021-08-06 20:20:37,68.75,161.3,46.45,81,61,2.75
184,Boa Vista,BR,2021-08-06 20:20:37,2.8197,-60.6733,85.98,58,40,2.3
185,Atar,MR,2021-08-06 20:20:39,20.5169,-13.0499,98.65,22,5,13.06
186,Neftcala,AZ,2021-08-06 20:20:39,39.3742,49.2472,80.26,72,0,6.85
187,Hamilton,US,2021-08-06 20:18:38,39.1834,-84.5333,89.22,51,20,3.0
